,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
25,1.5,0.03999999999999998,0.5531914893617021,0.03999999999999998,[0.    0.208 1.   ],[0.    0.168 1.   ],5,2
26,1.5,-0.07200000000000004,0.4262295081967213,-0.07200000000000004,[0.    0.208 1.   ],[0.   0.28 1.  ],6,2
27,1.5,-0.08,0.32142857142857145,-0.08,[0.    0.072 1.   ],[0.    0.152 1.   ],7,2
28,1.5,-0.016000000000000014,0.4782608695652174,-0.016000000000000014,[0.    0.176 1.   ],[0.    0.192 1.   ],8,2
29,1.5,0.02400000000000002,0.5238095238095238,0.02400000000000002,[0.    0.264 1.   ],[0.   0.24 1.  ],9,2
30,2.0,-0.016000000000000014,0.475,-0.016000000000000014,[0.    0.152 1.   ],[0.    0.168 1.   ],0,2
31,2.0,-0.04799999999999999,0.4444444444444444,-0.04799999999999999,[0.    0.192 1.   ],[0.   0.24 1.  ],1,2
32,2.0,0.048000000000000015,0.5714285714285714,0.048000000000000015,[0.    0.192 1.   ],[0.    0.144 1.   ],2,2
33,2.0,-0.04799999999999999,0.43478260869565216,-0.04799999999999999,[0.   0.16 1.  ],[0.    0.208 1.   ],3,2
34,2.0,-0.039999999999999994,0.4,-0.039999999999999994,[0.   0.08 1.  ],[0.   0.12 1.  ],4,2
35,2.0,0.04000000000000001,0.5510204081632653,0.04000000000000001,[0.    0.216 1.   ],[0.    0.176 1.   ],5,2
36,2.0,0.096,0.59375,0.096,[0.    0.304 1.   ],[0.    0.208 1.   ],6,2
37,2.0,-0.088,0.3877551020408163,-0.088,[0.    0.152 1.   ],[0.   0.24 1.  ],7,2
38,2.0,-0.11199999999999999,0.4326923076923077,-0.11199999999999999,[0.   0.36 1.  ],[0.    0.472 1.   ],8,2
39,2.0,-0.016,0.45454545454545453,-0.016,[0.   0.08 1.  ],[0.    0.096 1.   ],9,2
40,2.5,-0.07200000000000001,0.4563106796116505,-0.07200000000000001,[0.    0.376 1.   ],[0.    0.448 1.   ],0,2
41,2.5,0.040000000000000036,0.5229357798165137,0.040000000000000036,[0.    0.456 1.   ],[0.    0.416 1.   ],1,2
42,2.5,-0.016000000000000014,0.49107142857142855,-0.016000000000000014,[0.   0.44 1.  ],[0.    0.456 1.   ],2,2
43,2.5,0.064,0.5714285714285714,0.064,[0.    0.256 1.   ],[0.    0.192 1.   ],3,2
44,2.5,-0.055999999999999994,0.43636363636363634,-0.055999999999999994,[0.    0.192 1.   ],[0.    0.248 1.   ],4,2
45,2.5,-0.03999999999999998,0.45454545454545453,-0.03999999999999998,[0.  0.2 1. ],[0.   0.24 1.  ],5,2
46,2.5,0.03200000000000003,0.5178571428571429,0.03200000000000003,[0.    0.464 1.   ],[0.    0.432 1.   ],6,2
47,2.5,-0.06399999999999995,0.44871794871794873,-0.06399999999999995,[0.   0.28 1.  ],[0.    0.344 1.   ],7,2
48,2.5,-0.016000000000000014,0.48863636363636365,-0.016000000000000014,[0.    0.344 1.   ],[0.   0.36 1.  ],8,2
49,2.5,0.055999999999999994,0.5636363636363636,0.055999999999999994,[0.    0.248 1.   ],[0.    0.192 1.   ],9,2
50,3.0,-0.048000000000000015,0.45,-0.048000000000000015,[0.    0.216 1.   ],[0.    0.264 1.   ],0,2
51,3.0,-0.040000000000000036,0.47368421052631576,-0.040000000000000036,[0.   0.36 1.  ],[0.  0.4 1. ],1,2
52,3.0,0.023999999999999966,0.5151515151515151,0.023999999999999966,[0.    0.408 1.   ],[0.    0.384 1.   ],2,2
53,3.0,-0.064,0.45348837209302323,-0.064,[0.    0.312 1.   ],[0.    0.376 1.   ],3,2
